CityTown	Location	County	StateTerritory	Country	Date	EstimateText	EstimateLow	BestGuess	EstimateHigh	AdjustedLow	AdjustedHigh	Actor	Claim	Pro(2)/Anti(1)	EventType	ReportedArrests	ReportedParticipantInjuries	ReportedPoliceInjuries	ReportedPropertyDamage	TownsCities	Events	Source1	Source2	Source3	Misc.
Oxford				England	2019-09-20	na	3000		3000				against inaction on climate change; pro-environment							1	1	https://twitter.com/luckytran/status/1175030888838643712	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen		
Plymouth				England	2019-09-20	more than 2000	2000		2000				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Portsmouth				England	2019-09-20	around 800	800		800				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Scarborough	town centre			England	2019-09-20	over 200	200		200				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Sheffield				England	2019-09-20	around 5000	5000		5000				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Southampton				England	2019-09-20	na	500		500				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Swansea	Castle Square Gardens			England	2019-09-20	around 1500	1500		1500				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
York				England	2019-09-20	well over 2500	2500		2500				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Paris	Champs Elysees			France	2019-09-20	15000	15000		15000			general protestors	against inaction on climate change			160	0	0	1	1	1	https://www.theaustralian.com.au/world/the-times/anarchists-hijack-climate-strike-in-paris/news-story/105c61b45cd6b3cb04ebf7770afd3b8e			
Berlin				Germany	2019-09-20	estimate 100000	100000		100000				against inaction on climate change; pro-environment							1	1	https://www.nbcnews.com/news/world/global-climate-strike-protests-expected-draw-millions-n1056231			
Hamburg				Germany	2019-09-20	na	70000		70000				against inaction on climate change; pro-environment							1	1	https://twitter.com/schaneo/status/1175031540314779649			
Hyperbad				India	2019-09-20								against inaction on climate change; pro-environment							1	1	https://twitter.com/luckytran/status/1175023764037406721			
New Delhi				India	2019-09-20	dozens; hundreds	24		200				against inaction on climate change; pro-environment							1	1	https://www.nbcnews.com/news/world/global-climate-strike-protests-expected-draw-millions-n1056231	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen		
Tel Aviv				Israel	2019-09-20	hundreds	200		200			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.haaretz.com/israel-news/hundreds-of-teens-in-tel-aviv-join-global-call-for-leaders-to-act-on-climate-crisis-1.7867782?utm_term=20190920-15%3A28&utm_campaign=Nir+Hasson&utm_medium=email&writerAlerts=true&utm_source=smartfocus&utm_content=www.haaretz.com%2Fisrael-news%2F1.7867782			
Nairobi				Kenya	2019-09-20								against inaction on climate change; pro-environment							1	1	https://www.nbcnews.com/news/world/global-climate-strike-protests-expected-draw-millions-n1056233			
Mexico City				Mexico	2019-09-20	thousands	2000		2000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://www.theguardian.com/environment/live/2019/sep/20/climate-strike-global-change-protest-sydney-melbourne-london-new-york-nyc-school-student-protest-greta-thunberg-rally-live-news-latest-updates			
Lahore				Pakistan	2019-09-20								against inaction on climate change; pro-environment							1					
Warsaw				Poland	2019-09-20								against inaction on climate change; pro-environment							1	1	https://www.nbcnews.com/news/world/global-climate-strike-protests-expected-draw-millions-n1056232			
Aberdeen				Scotland	2019-09-20							general protestors	against inaction on climate change; pro-environment		strike					1	1	https://twitter.com/EECallum/status/1175022424846491648			
Edinburgh				Scotland	2019-09-20		20000		20000				against inaction on climate change; pro-environment							1	1	https://twitter.com/luckytran/status/1175027581848104961	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen		
Glasgow	George Square			Scotland	2019-09-20		15000		15000			general protestors	against inaction on climate change; pro-environment		strike					1	1	https://twitter.com/RSPBGlasgow/status/1175028211387904000	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen		
Iverness	Falcon Square			Scotland	2019-09-20	around 200	200		200				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Johannesburg	in the financial district of Sandton			South Africa	2019-09-20								against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
Stockholm				Sweden	2019-09-20	na	10000		10000			general protestors	against inaction on climate change		march					1	1	https://twitter.com/FFF_Sweden/status/1175150698025144321			
Bangkok				Thailand	2019-09-20	hundreds	200		200				against inaction on climate change; pro-environment							1	1	https://www.nbcnews.com/news/world/global-climate-strike-protests-expected-draw-millions-n1056231			
Wakiso district				Uganda	2019-09-20								against inaction on climate change; pro-environment							1	1				
Cardiff				Wales	2019-09-20	over 2000	2000		2000				against inaction on climate change; pro-environment							1	1	https://socialistworker.co.uk/art/48961/20+September+global+climate+strikes+as+they+happen			
