"date","locality","state","location_detail","online","type","title","macroevent","actors","organizations","participants","claims","valence","issues","size_text","size_low","size_high","size_mean","size_cat","arrests","arrests_any","injuries_crowd","injuries_crowd_any","injuries_police","injuries_police_any","property_damage","property_damage_any","chemical_agents","participant_measures","police_measures","participant_deaths","police_deaths","source_1","source_2","source_3","source_4","source_5","source_6","source_7","source_8","source_9","source_10","source_11","source_12","source_13","source_14","source_15","source_16","source_17","source_18","source_19","source_20","source_21","source_22","source_23","source_24","source_25","source_26","source_27","source_28","source_29","source_30","notes","lat","lon","resolved_locality","resolved_county","resolved_state","fips_code"
2019-09-12,"Baytown","TX","Fred Hartman Bridge",0,"direct action",NA,NA,"Greenpeace",NA,NA,"Environment; Against climate change",1,"environment",NA,23,23,23,1,"23.0",1,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://abc13.com/society/greenpeace-protesters-arrested-at-fred-hartman-bridge/5534431/","https://wkzo.com/2021/11/05/greenpeace-texas-prosecutor-settle-charges-in-2019-climate-protest/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.735505","-94.977427","Baytown","Harris County","TX","48201"
2019-09-13,"Carbondale","CO","Sopris Park",0,"Rally",NA,NA,"350 Colorado Organization, students",NA,NA,"Against climate change",0,"environment",NA,NA,NA,NA,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.postindependent.com/news/from-drums-to-discussion-carbondale-climate-rally-aims-to-inspire-action/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.402205","-107.211163","Carbondale","Garfield County","CO","08045"
2019-09-13,"Carbondale","CO","Sopris Park",0,"Rally",NA,NA,"350 Colorado Organization, students",NA,NA,"Against climate change",0,"environment",NA,NA,NA,NA,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.postindependent.com/news/from-drums-to-discussion-carbondale-climate-rally-aims-to-inspire-action/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.402205","-107.211163","Carbondale","Garfield County","CO","08045"
2019-09-13,"Salt Lake City","UT","Utah State Capitol",0,"demonstration",NA,NA,"Fridays for Future Utah; students","Fridays for Future Utah","students","for climate action",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://www.instagram.com/p/BxA78BiHeFY/","https://www.instagram.com/p/Bv2pzFxHZ2c/","https://www.instagram.com/p/Bx542oznkg3/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Friday since at least May 2019","40.760779","-111.891047","Salt Lake City","Salt Lake County","UT","49035"
2019-09-13,"Seattle","WA",NA,0,"demonstration",NA,NA,"Fridays for Future Seattle","Fridays for Future Seattle",NA,"for climate justice",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://twitter.com/solo_syn_/status/1573513412109561856","https://www.facebook.com/people/Fridays-For-Future-Seattle/100064551678295/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Friday","47.606209","-122.332071","Seattle","King County","WA","53033"
2019-09-15,"Waterville","ME","Lawn of the First Congregational Church",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Eustis Parkway","44.552011","-69.631712","Waterville","Kennebec County","ME","23011"
2019-09-15,"Waterville","ME","Lawn of the First Congregational Church",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Eustis Parkway","44.552011","-69.631712","Waterville","Kennebec County","ME","23011"
2019-09-17,"Oneonta","NY","SUNY Oneonta Quad",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108 Ravine Parkway","42.452857","-75.063775","Oneonta","Otsego County","NY","36077"
2019-09-17,"Oneonta","NY","SUNY Oneonta Quad",0,"demonstration",NA,"20190920-climatestrike",NA,NA,NA,"for urgent action on climate change, for climate justice and equity",1,"environment",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"March On, wearemarchon.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108 Ravine Parkway","42.452857","-75.063775","Oneonta","Otsego County","NY","36077"
2019-09-18,"Washington","DC","Supreme Court",0,"protest",NA,NA,"general protesters",NA,NA,"Environment; Against climate change",0,"environment",NA,NA,NA,NA,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,NA,NA,NA,NA,NA,"https://www.floridatoday.com/story/news/2019/09/19/young-climate-activist-satellite-beach-appears-washington-alongside-greta-thunberg/2366801001/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.907192","-77.036871","Washington","District of Columbia","DC","11001"
